"source","target","strength"
"Adam McKay","Adam Scott",1
"Adam McKay","Andrea Savage",1
"Adam McKay","Charlie Talbert",1
"Adam McKay","Christian Bale",1
"Adam McKay","Darcy Donavan",1
"Adam McKay","Derek Jeter",1
"Adam McKay","Dwayne Johnson",1
"Adam McKay","Gary Cole",1
"Adam McKay","Harrison Ford",1
"Adam McKay","Leslie Bibb",1
"Adam McKay","Ryan Gosling",1
"Adam McKay","Steve Carell",2
"Adam McKay","Will Ferrell",5
"Alejandro G. IÃ±Ã¡rritu","Adriana Barraza",1
"Alejandro G. IÃ±Ã¡rritu","Brad Pitt",1
"Alejandro G. IÃ±Ã¡rritu","Danny Huston",1
"Alejandro G. IÃ±Ã¡rritu","Dermot Crowley",1
"Alejandro G. IÃ±Ã¡rritu","Eddie Marsan",1
"Alejandro G. IÃ±Ã¡rritu","Eduard FernÃ¡ndez",1
"Alejandro G. IÃ±Ã¡rritu","Emma Stone",1
"Alejandro G. IÃ±Ã¡rritu","Goya Toledo",1
"Alejandro G. IÃ±Ã¡rritu","Hanaa Bouchaib",1
"Alejandro G. IÃ±Ã¡rritu","Harriet Walter",1
"Alejandro G. IÃ±Ã¡rritu","Jorge Salinas",1
"Alejandro G. IÃ±Ã¡rritu","Leonardo DiCaprio",1
"Alejandro G. IÃ±Ã¡rritu","Lukas Haas",1
"Alejandro G. IÃ±Ã¡rritu","Maricel ÃÅlvarez",1
"Alejandro G. IÃ±Ã¡rritu","Merritt Wever",1
"Alejandro G. IÃ±Ã¡rritu","Naomi Watts",2
"Alejandro G. IÃ±Ã¡rritu","Tom Hardy",1
"Alex Kendrick","Alex Kendrick (Ac)",2
"Alex Kendrick","Ben Davies",1
"Alex Kendrick","Erin Bethea",2
"Alex Kendrick","Janet Lee Dapper",1
"Alex Kendrick","Ken Bevel",1
"Alex Kendrick","Kirk Cameron",1
"Alex Kendrick","Lisa Arnold",1
"Alex Kendrick","Shannen Fields",2
"Alex Kendrick","T.C. Stallings",1
"Andrew Bujalski","Andrew Bujalski (Ac)",2
"Andrew Bujalski","Justin Rice",2
"Andrew Bujalski","Kate Dollenmayer",2
"Andrew Dominik","Ben Mendelsohn",1
"Andrew Dominik","Brad Pitt",2
"Andrew Dominik","Jeremy Renner",1
"Andrew Dominik","Sam Shepard",2
"Andrzej Bartkowiak","Aaliyah",1
"Andrzej Bartkowiak","Ben Daniels",1
"Andrzej Bartkowiak","Bill Duke (Ac)",1
"Andrzej Bartkowiak","Bruce McGill",1
"Andrzej Bartkowiak","Chris Klein",1
"Andrzej Bartkowiak","Delroy Lindo",1
"Andrzej Bartkowiak","Dexter Fletcher (Ac)",1
"Andrzej Bartkowiak","DMX",1
"Andrzej Bartkowiak","Dwayne Johnson",1
"Andrzej Bartkowiak","Jet Li",2
"Andrzej Bartkowiak","Josie Ho",1
"Andrzej Bartkowiak","Michael Jai White (Ac)",1
"Andrzej Bartkowiak","Robin Shou",1
"Andrzej Bartkowiak","Tom Arnold",1
"Andy Fickman","Alexandra Breckenridge",1
"Andy Fickman","Bailee Madison",1
"Andy Fickman","Billy Brown",1
"Andy Fickman","Channing Tatum",1
"Andy Fickman","Christine Lakin",1
"Andy Fickman","D.B. Woodside",1
"Andy Fickman","Daniella Alonso",1
"Andy Fickman","Dwayne Johnson",2
"Andy Fickman","Eduardo VerÃ¡stegui",1
"Andy Fickman","Gedde Watanabe",1
"Andy Fickman","James Wolk",1
"Andy Fickman","Jamie Lee Curtis",1
"Andy Fickman","Kyra Sedgwick",1
"Andy Fickman","Laura Ramsey",1
"Andy Fickman","Madison Pettis",1
"Andy Fickman","Tom Everett Scott",2
"Angela Robinson","Cheryl Hines",1
"Angela Robinson","Geoff Stults",1
"Angela Robinson","Jordana Brewster",1
"Angela Robinson","Scoot McNairy",2
"Angela Robinson","Thomas Lennon",1
"Anthony Minghella","Charlie Hunnam",1
"Anthony Minghella","Colin Firth",1
"Anthony Minghella","Jack Davenport",1
"Anthony Minghella","JÃ_rgen Prochnow",1
"Anthony Minghella","Kristin Scott Thomas",1
"Anthony Minghella","Matt Damon",1
"Anthony Minghella","Natalie Portman",1
"Anthony Minghella","Philip Seymour Hoffman",2
"Anthony Russo","Amanda Detmer",1
"Anthony Russo","Andy Davoli",1
"Anthony Russo","Billy Gardell",1
"Anthony Russo","Chris Evans",2
"Anthony Russo","Hayley Atwell",1
"Anthony Russo","Isaiah Washington",1
"Anthony Russo","Michael Jeter",1
"Anthony Russo","Robert Downey Jr.",1
"Anthony Russo","Scarlett Johansson",2
"Anthony Russo","Todd Stashwick",1
"Antoine Fuqua","50 Cent",1
"Antoine Fuqua","Armando Riesco",1
"Antoine Fuqua","Bruce Willis",1
"Antoine Fuqua","ChloÃ« Grace Moretz",1
"Antoine Fuqua","Clifton Collins Jr.",1
"Antoine Fuqua","Cole Hauser",1
"Antoine Fuqua","Denzel Washington (Ac)",2
"Antoine Fuqua","Don Cheadle",1
"Antoine Fuqua","Gerard Butler",1
"Antoine Fuqua","Jake Gyllenhaal",1
"Antoine Fuqua","James Wilcox",1
"Antoine Fuqua","Lili Taylor",1
"Antoine Fuqua","Louis Ferreira",1
"Antoine Fuqua","Mira Sorvino",1
"Antoine Fuqua","Morgan Freeman",1
"Antoine Fuqua","Ned Beatty",1
"Antoine Fuqua","Oona Laurence",1
"Antoine Fuqua","Patrick Kilpatrick",1
"Antoine Fuqua","Radha Mitchell",1
"Antoine Fuqua","Snoop Dogg",1
"Antoine Fuqua","Tate Donovan",1
"Antoine Fuqua","Tom Berenger",1
