"id","movie_count","type"
"Frank Grillo",8,"Actor"
"Frank Vincent",4,"Actor"
"Gaby Hoffmann",6,"Actor"
"Garry Marshall",8,"Director"
"Gary Cole",12,"Actor"
"Gary Oldman",18,"Actor"
"Geoff Bell",3,"Actor"
"George Carlin",7,"Actor"
"Geraldine Chaplin",4,"Actor"
"Gerry Bednob",1,"Actor"
"Giancarlo Giannini",3,"Actor"
"Gillian White",1,"Actor"
"Gore Verbinski",7,"Director"
"Greg Mottola (Ac)",1,"Actor"
"Gretchen Mol",7,"Actor"
"Hal Holbrook",9,"Actor"
"Haley Joel Osment",7,"Actor"
"Harrison Ford",26,"Actor"
"Harry Lennix",9,"Actor"
"Harvey Korman",4,"Actor"
"Heath Ledger",8,"Actor"
"Heather Matarazzo",4,"Actor"
"Hector Elizondo",8,"Actor"
"Hope Davis",10,"Actor"
"Howard Morris",1,"Actor"
"Hugh Jackman",19,"Actor"
"Ian Ziering",1,"Actor"
"Igal Naor",1,"Actor"
"Irvin Kershner (Ac)",1,"Actor"
"Isaiah Washington",3,"Actor"
"J.K. Simmons",28,"Actor"
"Jack Davenport",6,"Actor"
"Jack Palance",3,"Actor"
"Jada Pinkett Smith",16,"Actor"
"Jake Busey",8,"Actor"
"Jake Short",1,"Actor"
"James Franco",23,"Actor"
"James Ransone",6,"Actor"
"Jane Fonda",4,"Actor"
"Janeane Garofalo",11,"Actor"
"Jason Alexander (Ac)",4,"Actor"
"Jason Mewes",5,"Actor"
"Jason Scott Lee",3,"Actor"
"Jason Statham",23,"Actor"
"Jay Mohr",4,"Actor"
"Jaymes Butler",1,"Actor"
"Jeff Anderson",2,"Actor"
"Jeff DeRocker",1,"Actor"
"Jeffrey DeMunn",5,"Actor"
"Jennifer Esposito",5,"Actor"
"Jennifer Schwalbach Smith",1,"Actor"
"Jeremy Irvine",3,"Actor"
"Jessica Capshaw",2,"Actor"
"JÌ_rgen Prochnow",5,"Actor"
"Jim Broadbent",25,"Actor"
"Jim Varney",2,"Actor"
"Jimmy Bennett",8,"Actor"
"Joan Allen",9,"Actor"
"Joan Rivers",1,"Actor"
"Joe Don Baker",4,"Actor"
"Joe Mantegna",9,"Actor"
